AudioFile,Time,Speaker,Content,Processed,Phonemes
audio_00063,278.9,DEP,"Jeju Air 266, direct OSPOT",Jeju Air Two Six Six direct $OSPOT$,JH EY JH UW EH R T UW S IH K S S IH K S D ER EH K T AO S P AA T
audio_00065,287.0,JNA358,"Jin Air 358, request",Jin Air Three Five Eight request,JH IH N EH R TH R IY F AY V EY T R IH K W EH S T
audio_00066,289.7,APP,Go ahead,Go ahead,G OW AH HH EH D
audio_00067,290.7,JNA358,"Due to CB uh in uh ahead of me, request heading 340 temporarily",Due to Charlie Bravo uh in uh ahead of me request heading Three Four Zero temporarily,D UW T UW CH AA R L IY B R AA V OW AH IH N AH AH HH EH D AH V M IY R IH K W EH S T HH EH D IH NG TH R IY F AO R Z IH R OW T EH M P ER EH R AH L IY
audio_00068,297.9,APP,"Roger, Jin Air 358, heading 340, descend to 8000'",Roger Jin Air Three Five Eight heading Three Four Zero descend to Eight Thousand,R AA JH ER JH IH N EH R TH R IY F AY V EY T HH EH D IH NG TH R IY F AO R Z IH R OW D IH S EH N D T UW EY T TH AW Z AH N D
audio_00069,300.8,JNA358,"Heading 340, descend to 8000', Jin Air 358",Heading Three Four Zero descend to Eight Thousand Jin Air Three Five Eight,HH EH D IH NG TH R IY F AO R Z IH R OW D IH S EH N D T UW EY T TH AW Z AH N D JH IH N EH R TH R IY F AY V EY T
audio_00070,305.4,ABL8816,"Seoul Approach, Air Busan 8816",Seoul Approach Air Busan Eight Eight One Six,S OW L AH P R OW CH EH R B AH S AH N EY T EY T W AH N S IH K S
audio_00071,307.9,APP,"Air,Busan 8816, Seoul Approach, cleared GUKDO 1T Arrival, maintain FL160",AirBusan Eight Eight One Six Seoul Approach cleared $GUKDO$ One Tango Arrival maintain Flight Level One Six Zero,EH R B AH S B AH N EY T EY T W AH N S IH K S S OW L AH P R OW CH K L IH R D G UW D K OW W AH N T AE NG G OW ER AY V AH L M EY N T EY N F L AY T L EH V AH L W AH N S IH K S Z IH R OW
audio_00072,313.0,ABL8816,"Cleared GUKDO 1T Arrival, maintain FL160, Air Busan 8816",Cleared $GUKDO$ One Tango Arrival maintain Flight Level One Six Zero Air Busan Eight Eight One Six,K L IH R D G UW D K OW W AH N T AE NG G OW ER AY V AH L M EY N T EY N F L AY T L EH V AH L W AH N S IH K S Z IH R OW EH R B AH S AH N EY T EY T W AH N S IH K S
audio_00073,318.7,APP,"Jin Air 358, report cleared of weather",Jin Air Three Five Eight report cleared of weather,JH IH N EH R TH R IY F AY V EY T R IY P AO R T K L IH R D AH V W EH DH ER
audio_00074,321.0,JNA358,"Wilco, Jin Air 358",Wilco Jin Air Three Five Eight,W IH L K OW JH IH N EH R TH R IY F AY V EY T
audio_00076,326.7,DEP,"Tee way 725, Departure, radar contact, maintain 6000'",Tee way Seven Two Five Departure radar contact maintain Six Thousand,T IY W EY S EH V AH N T UW F AY V D IH P AA R CH ER R EY D AA R K AA N T AE K T M EY N T EY N S IH K S TH AW Z AH N D
audio_00077,330.4,TWB725,"Maintain 6000', Tee way 725",Maintain Six Thousand Tee way Seven Two Five,M EY N T EY N S IH K S TH AW Z AH N D T IY W EY S EH V AH N T UW F AY V
audio_00078,334.8,JNA358,request direct BUMSI,request direct $BUMSI$,R IH K W EH S T D ER EH K T B AH M S IY
audio_00079,336.4,APP,"Jin Air 358, direct BUMSI, cleared ILS RWY32R Approach",Jin Air Three Five Eight direct $BUMSI$ cleared I L S Runway Three Two Right Approach,JH IH N EH R TH R IY F AY V EY T D ER EH K T B AH M S IY K L IH R D AY EH L EH S R AH N W EY TH R IY T UW R AY T AH P R OW CH
audio_00080,340.0,JNA358,"Direct BUMSI, cleared ILS 32R Approach, Jin Air 358",Direct $BUMSI$ cleared I L S Three Two Right Approach Jin Air Three Five Eight,D ER EH K T B AH M S IY K L IH R D AY EH L EH S TH R IY T UW R AY T AH P R OW CH JH IH N EH R TH R IY F AY V EY T
audio_00081,344.9,DEP,"Asiana 8963, climb to FL280, cancel level restriction",Asiana Eight Niner Six Three climb to Flight Level Two Eight Zero cancel level restriction,AA S IY AA N AH EY T N AY N ER S IH K S TH R IY K L AY M T UW F L AY T L EH V AH L T UW EY T Z IH R OW K AE N S AH L L EH V AH L R IY S T R IH K SH AH N
audio_00082,349.8,AAR8963,"Climbing to FL280, cancel level restriction, Asiana 8963",Climbing to Flight Level Two Eight Zero cancel level restriction Asiana Eight Niner Six Three,K L AY M IH NG T UW F L AY T L EH V AH L T UW EY T Z IH R OW K AE N S AH L L EH V AH L R IY S T R IH K SH AH N AA S IY AA N AH EY T N AY N ER S IH K S TH R IY
audio_00083,356.0,DEP,"Air Busan 8097, contact control 126.17, good day",Air Busan Eight Zero Niner Seven contact control One Two Six Decimal One Seven good day,EH R B AH S AH N EY T Z IH R OW N AY N ER S EH V AH N K AA N T AE K T K AH N T R OW L W AH N T UW S IH K S D EH S AH M AH L W AH N S EH V AH N G UH D D EY
audio_00084,361.9,ABL8097,"Contact control 126.17, Air Busan 8097, good day",Contact control One Two Six Decimal One Seven Air Busan Eight Zero Niner Seven good day,K AA N T AE K T K AH N T R OW L W AH N T UW S IH K S D EH S AH M AH L W AH N S EH V AH N EH R B AH S AH N EY T Z IH R OW N AY N ER S EH V AH N G UH D D EY
audio_00085,366.3,DEP,"Anierican 9700, contact control 126.17, good day",Anierican Niner Seven Zero Zero contact control One Two Six Decimal One Seven good day,AE N IY R EY K AH N N AY N ER S EH V AH N Z IH R OW Z IH R OW K AA N T AE K T K AH N T R OW L W AH N T UW S IH K S D EH S AH M AH L W AH N S EH V AH N G UH D D EY
audio_00087,376.4,DEP,Affirmative,Affirmative,AH F ER M AH T IH V
audio_00089,380.0,KAL1242,localizer 32R,localizer Three Two Right,L OW K AH L AY Z ER TH R IY T UW R AY T
audio_00090,381.9,APP,"Korean Air 1242, contact Tower 118.1",Korean Air One Two Four Two contact Tower One One Eight Decimal One,K AO R IY AH N EH R W AH N T UW F AO R T UW K AA N T AE K T T AW ER W AH N W AH N EY T D EH S AH M AH L W AH N
audio_00091,384.8,KAL1242,"1 Eighteen 1, Korean Air 1242",One Eighteen One Korean Air One Two Four Two,W AH N EY T IY N W AH N K AO R IY AH N EH R W AH N T UW F AO R T UW
audio_00092,388.6,APP,"Air Busan 8816, descend to 8000', cancel level restriction, QNH1005",Air Busan Eight Eight One Six descend to Eight Thousand cancel level restriction Q N H One Zero Zero Five,EH R B AH S AH N EY T EY T W AH N S IH K S D IH S EH N D T UW EY T TH AW Z AH N D K AE N S AH L L EH V AH L R IY S T R IH K SH AH N K Y UW EH N EY CH W AH N Z IH R OW Z IH R OW F AY V
audio_00094,400.6,ASV906,"Approach, Air Seoul 906",Approach Air Seoul Niner Zero Six,AH P R OW CH EH R S OW L N AY N ER Z IH R OW S IH K S
audio_00095,403.4,APP,"Air Seoul 906, Seoul Approach, cleared OLMEN 1T Arrival, maintain FL160",Air Seoul Niner Zero Six Seoul Approach cleared $OLMEN$ One Tango Arrival maintain Flight Level One Six Zero,EH R S OW L N AY N ER Z IH R OW S IH K S S OW L AH P R OW CH K L IH R D OW L M EH N W AH N T AE NG G OW ER AY V AH L M EY N T EY N F L AY T L EH V AH L W AH N S IH K S Z IH R OW
audio_00096,409.2,ASV906,"Cleared OLMEN 1T Arrival, maintain FL160, Air Seoul 906",Cleared $OLMEN$ One Tango Arrival maintain Flight Level One Six Zero Air Seoul Niner Zero Six,K L IH R D OW L M EH N W AH N T AE NG G OW ER AY V AH L M EY N T EY N F L AY T L EH V AH L W AH N S IH K S Z IH R OW EH R S OW L N AY N ER Z IH R OW S IH K S
audio_00097,415.7,APP,"Air Seoul 906, descend to 8000', cancel level restriction, QNH1005",Air Seoul Niner Zero Six descend to Eight Thousand cancel level restriction Q N H One Zero Zero Five,EH R S OW L N AY N ER Z IH R OW S IH K S D IH S EH N D T UW EY T TH AW Z AH N D K AE N S AH L L EH V AH L R IY S T R IH K SH AH N K Y UW EH N EY CH W AH N Z IH R OW Z IH R OW F AY V
audio_00098,421.5,ASV906,"Descend to 8000', cancel level restriction, QNH1005, Air Seoul 906",Descend to Eight Thousand cancel level restriction Q N H One Zero Zero Five Air Seoul Niner Zero Six,D IH S EH N D T UW EY T TH AW Z AH N D K AE N S AH L L EH V AH L R IY S T R IH K SH AH N K Y UW EH N EY CH W AH N Z IH R OW Z IH R OW F AY V EH R S OW L N AY N ER Z IH R OW S IH K S
audio_00099,427.8,APP,"Air Busan 8816, direct BUMSI, cleared ILS RWY32R Approach",Air Busan Eight Eight One Six direct $BUMSI$ cleared I L S Runway Three Two Right Approach,EH R B AH S AH N EY T EY T W AH N S IH K S D ER EH K T B AH M S IY K L IH R D AY EH L EH S R AH N W EY TH R IY T UW R AY T AH P R OW CH
audio_00100,432.6,ABL8816,"Direct BUMSI, cleared ILS RWY32R Approach, Air Busan 8816",Direct $BUMSI$ cleared I L S Runway Three Two Right Approach Air Busan Eight Eight One Six,D ER EH K T B AH M S IY K L IH R D AY EH L EH S R AH N W EY TH R IY T UW R AY T AH P R OW CH EH R B AH S AH N EY T EY T W AH N S IH K S
audio_00101,438.0,DEP,"Jeju Air 155, Decerture, radar contact, climb to FL200, cancel level restriction",Jeju Air One Five Five Decerture radar contact climb to Flight Level Two Zero Zero cancel level restriction,JH EY JH UW EH R W AH N F AY V F AY V D IH S ER T Y ER R EY D AA R K AA N T AE K T K L AY M T UW F L AY T L EH V AH L T UW Z IH R OW Z IH R OW K AE N S AH L L EH V AH L R IY S T R IH K SH AH N
audio_00102,443.4,JJA155,"Climb to FL200, cancel level restriction, Jeju Air 155",Climb to Flight Level Two Zero Zero cancel level restriction Jeju Air One Five Five,K L AY M T UW F L AY T L EH V AH L T UW Z IH R OW Z IH R OW K AE N S AH L L EH V AH L R IY S T R IH K SH AH N JH EY JH UW EH R W AH N F AY V F AY V
audio_00103,449.1,APP,"Southern Air 8027 Heavy, continue approach",Southern Air Eight Zero Two Seven Heavy continue approach,S AH DH ER N EH R EY T Z IH R OW T UW S EH V AH N HH EH V IY K AH N T IH N Y UW AH P R OW CH
audio_00105,457.6,ASV906,"Approach, Air Seoul 906, request heading 090 due to CB",Approach Air Seoul Niner Zero Six request heading Zero Niner Zero due to Charlie Bravo,AH P R OW CH EH R S OW L N AY N ER Z IH R OW S IH K S R IH K W EH S T HH EH D IH NG Z IH R OW N AY N ER Z IH R OW D UW T UW CH AA R L IY B R AA V OW
audio_00106,463.9,APP,"Roger. Air Seoul 906, heading 090, descend to 12000'",Roger Decimal Air Seoul Niner Zero Six heading Zero Niner Zero descend to One Two Thousand,R AA JH ER D EH S AH M AH L EH R S OW L N AY N ER Z IH R OW S IH K S HH EH D IH NG Z IH R OW N AY N ER Z IH R OW D IH S EH N D T UW W AH N T UW TH AW Z AH N D
audio_00107,467.8,ASV906,"Heading 090, descend to 12000', Air Seoul 906",Heading Zero Niner Zero descend to One Two Thousand Air Seoul Niner Zero Six,HH EH D IH NG Z IH R OW N AY N ER Z IH R OW D IH S EH N D T UW W AH N T UW TH AW Z AH N D EH R S OW L N AY N ER Z IH R OW S IH K S
audio_00109,479.6,AAR761,"Seoul Departure, good afternoon, Asiana 761 Heavy, out ot 1000' 8 Hundred, BOPTA 1A Departure",Seoul Departure good afternoon Asiana Seven Six One Heavy out ot One Thousand Eight Hundred $BOPTA$ One Alpha Departure,S OW L D IH P AA R CH ER G UH D AE F T ER N UW N AA S IY AA N AH S EH V AH N S IH K S W AH N HH EH V IY AW T AO T W AH N TH AW Z AH N D EY T HH AH N D R AH D B AA P T AH W AH N AE L F AH D IH P AA R CH ER
audio_00110,486.4,DEP,"Asiana 761, Departure, radar contact, climb to FL260",Asiana Seven Six One Departure radar contact climb to Flight Level Two Six Zero,AA S IY AA N AH S EH V AH N S IH K S W AH N D IH P AA R CH ER R EY D AA R K AA N T AE K T K L AY M T UW F L AY T L EH V AH L T UW S IH K S Z IH R OW
audio_00111,490.8,AAR761,"Climb to FL260, Asiana 761",Climb to Flight Level Two Six Zero Asiana Seven Six One,K L AY M T UW F L AY T L EH V AH L T UW S IH K S Z IH R OW AA S IY AA N AH S EH V AH N S IH K S W AH N
